   Elapsed_time	    ECG
      (seconds)	   (mV)
          0.000	  0.192
          0.001	  0.192
          0.003	  0.192
          0.004	  0.192
          0.006	  0.192
          0.007	  0.200
          0.008	  0.200
          0.010	  0.192
          0.011	  0.200
          0.013	  0.200
          0.014	  0.192
          0.015	  0.200
          0.017	  0.200
          0.018	  0.200
          0.019	  0.208
          0.021	  0.200
          0.022	  0.208
          0.024	  0.200
          0.025	  0.192
          0.026	  0.192
          0.028	  0.200
          0.029	  0.200
          0.031	  0.200
          0.032	  0.208
          0.033	  0.215
          0.035	  0.215
          0.036	  0.208
          0.037	  0.192
          0.039	  0.200
          0.040	  0.223
          0.042	  0.200
          0.043	  0.208
          0.044	  0.215
          0.046	  0.215
          0.047	  0.215
          0.049	  0.215
          0.050	  0.208
          0.051	  0.208
          0.053	  0.208
          0.054	  0.208
          0.056	  0.200
          0.057	  0.208
          0.058	  0.200
          0.060	  0.192
          0.061	  0.208
          0.062	  0.208
          0.064	  0.208
          0.065	  0.208
          0.067	  0.208
          0.068	  0.208
          0.069	  0.215
          0.071	  0.208
          0.072	  0.208
          0.074	  0.208
          0.075	  0.208
          0.076	  0.208
          0.078	  0.200
          0.079	  0.208
          0.081	  0.208
          0.082	  0.208
          0.083	  0.208
          0.085	  0.200
          0.086	  0.208
          0.087	  0.208
          0.089	  0.192
          0.090	  0.185
          0.092	  0.177
          0.093	  0.177
          0.094	  0.185
          0.096	  0.200
          0.097	  0.192
          0.099	  0.185
          0.100	  0.192
          0.101	  0.192
          0.103	  0.185
          0.104	  0.200
          0.106	  0.192
          0.107	  0.185
          0.108	  0.192
          0.110	  0.192
          0.111	  0.200
          0.113	  0.200
          0.114	  0.208
          0.115	  0.215
          0.117	  0.215
          0.118	  0.223
          0.119	  0.231
          0.121	  0.238
          0.122	  0.231
          0.124	  0.223
          0.125	  0.223
          0.126	  0.215
          0.128	  0.208
          0.129	  0.208
          0.131	  0.200
          0.132	  0.192
          0.133	  0.200
          0.135	  0.208
          0.136	  0.192
          0.138	  0.192
          0.139	  0.200
          0.140	  0.200
          0.142	  0.208
          0.143	  0.200
          0.144	  0.200
          0.146	  0.192
          0.147	  0.200
          0.149	  0.185
          0.150	  0.185
          0.151	  0.192
          0.153	  0.192
          0.154	  0.192
          0.156	  0.192
          0.157	  0.185
          0.158	  0.185
          0.160	  0.192
          0.161	  0.200
          0.163	  0.200
          0.164	  0.192
          0.165	  0.192
          0.167	  0.192
          0.168	  0.192
          0.169	  0.192
          0.171	  0.192
          0.172	  0.177
          0.174	  0.192
          0.175	  0.177
          0.176	  0.185
          0.178	  0.185
          0.179	  0.177
          0.181	  0.185
          0.182	  0.185
          0.183	  0.177
          0.185	  0.192
          0.186	  0.169
          0.188	  0.177
          0.189	  0.192
          0.190	  0.177
          0.192	  0.169
          0.193	  0.177
          0.194	  0.185
          0.196	  0.169
          0.197	  0.169
          0.199	  0.177
          0.200	  0.177
          0.201	  0.169
          0.203	  0.169
          0.204	  0.169
          0.206	  0.169
          0.207	  0.169
          0.208	  0.169
          0.210	  0.162
          0.211	  0.169
          0.212	  0.177
          0.214	  0.185
          0.215	  0.200
          0.217	  0.192
          0.218	  0.192
          0.219	  0.192
          0.221	  0.192
          0.222	  0.192
          0.224	  0.200
          0.225	  0.200
          0.226	  0.200
          0.228	  0.192
          0.229	  0.200
          0.231	  0.208
          0.232	  0.215
          0.233	  0.215
          0.235	  0.215
          0.236	  0.215
          0.237	  0.208
          0.239	  0.215
          0.240	  0.215
          0.242	  0.215
          0.243	  0.200
          0.244	  0.215
          0.246	  0.223
          0.247	  0.223
          0.249	  0.223
          0.250	  0.231
          0.251	  0.215
          0.253	  0.215
          0.254	  0.223
          0.256	  0.215
          0.257	  0.200
          0.258	  0.185
          0.260	  0.177
          0.261	  0.177
          0.263	  0.185
          0.264	  0.185
          0.265	  0.200
          0.267	  0.208
          0.268	  0.208
          0.269	  0.200
          0.271	  0.215
          0.272	  0.215
          0.274	  0.215
          0.275	  0.223
          0.276	  0.223
          0.278	  0.231
          0.279	  0.238
          0.281	  0.238
          0.282	  0.238
